Proyecto,Sección de docSPACE,Status,Valor,notas de mejora
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",Nombre de proyecto,Completa,14.28571428571429,
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",Descripción de proyecto,Completa,14.28571428571429,
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",Trazas del proceso de prototipado ,Completa,14.28571428571429,
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",El prototipo y/o partes de él,Completa,14.28571428571429,
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
"Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos",QR o enlace a la wiki,Completa,14.28571428571429,
Mapeando y preservando la herencia arquitectónica de Nuevo León,Nombre de proyecto,Completa,14.28571428571429,
Mapeando y preservando la herencia arquitectónica de Nuevo León,Descripción de proyecto,Completa,14.28571428571429,
Mapeando y preservando la herencia arquitectónica de Nuevo León,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Mapeando y preservando la herencia arquitectónica de Nuevo León,El prototipo y/o partes de él,Completa,14.28571428571429,"Contiene link a la página que sirve como prototipo, incluyen impresiones en 3D de objetos escaneados. Podrían incluir más impresiones y una impresión más grande del mapa elaborado"
Mapeando y preservando la herencia arquitectónica de Nuevo León,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,Actualizar
Mapeando y preservando la herencia arquitectónica de Nuevo León,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,Actualizar
Mapeando y preservando la herencia arquitectónica de Nuevo León,QR o enlace a la wiki,Completa,14.28571428571429,
Somos luz: Compartiendo memorias del barrio,Nombre de proyecto,Completa,14.28571428571429,
Somos luz: Compartiendo memorias del barrio,Descripción de proyecto,Completa,14.28571428571429,
Somos luz: Compartiendo memorias del barrio,Trazas del proceso de prototipado ,Completa,14.28571428571429,Se podría complementar de mejor manera
Somos luz: Compartiendo memorias del barrio,El prototipo y/o partes de él,Completa,14.28571428571429,
Somos luz: Compartiendo memorias del barrio,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Somos luz: Compartiendo memorias del barrio,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Somos luz: Compartiendo memorias del barrio,QR o enlace a la wiki,Completa,14.28571428571429,
GeoSTATS,Nombre de proyecto,Completa,14.28571428571429,
GeoSTATS,Descripción de proyecto,Completa,14.28571428571429,Título esta colocado en el suelo y no es muy visible
GeoSTATS,Trazas del proceso de prototipado ,Completa,14.28571428571429,
GeoSTATS,El prototipo y/o partes de él,Incompleta,0,
GeoSTATS,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
GeoSTATS,Fotografías de las personas colaboradoras en el proyecto o comunidad,Incompleta,0,
GeoSTATS,QR o enlace a la wiki,Incompleta,0,
Viaje al microcosmos de Nuevo León,Nombre de proyecto,Completa,14.28571428571429,
Viaje al microcosmos de Nuevo León,Descripción de proyecto,Completa,14.28571428571429,
Viaje al microcosmos de Nuevo León,Trazas del proceso de prototipado ,Incompleta,0,
Viaje al microcosmos de Nuevo León,El prototipo y/o partes de él,Incompleta,0,
Viaje al microcosmos de Nuevo León,Fotografías del prototipo a lo largo del proceso y en su estado actual,Incompleta,0,
Viaje al microcosmos de Nuevo León,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Viaje al microcosmos de Nuevo León,QR o enlace a la wiki,Completa,14.28571428571429,
Más que manos,Nombre de proyecto,Incompleta,0,
Más que manos,Descripción de proyecto,Completa,14.28571428571429,Contiene dos panfletos con la información pero no es visible a simple vista
Más que manos,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Más que manos,El prototipo y/o partes de él,Completa,14.28571428571429,
Más que manos,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,Se podría complementar de mejor manera
Más que manos,Fotografías de las personas colaboradoras en el proyecto o comunidad,Incompleta,0,
Más que manos,QR o enlace a la wiki,Incompleta,0,
Historias que se sienten: Leyendas norestenses en Braille,Nombre de proyecto,Completa,14.28571428571429,
Historias que se sienten: Leyendas norestenses en Braille,Descripción de proyecto,Completa,14.28571428571429,
Historias que se sienten: Leyendas norestenses en Braille,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Historias que se sienten: Leyendas norestenses en Braille,El prototipo y/o partes de él,Completa,14.28571428571429,
Historias que se sienten: Leyendas norestenses en Braille,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Historias que se sienten: Leyendas norestenses en Braille,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Historias que se sienten: Leyendas norestenses en Braille,QR o enlace a la wiki,Incompleta,0,
Fotovoz: narrativas de lo común en Monterrey,Nombre de proyecto,Completa,14.28571428571429,
Fotovoz: narrativas de lo común en Monterrey,Descripción de proyecto,Completa,14.28571428571429,
Fotovoz: narrativas de lo común en Monterrey,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Fotovoz: narrativas de lo común en Monterrey,El prototipo y/o partes de él,Completa,14.28571428571429,Se encuentra en afinación
Fotovoz: narrativas de lo común en Monterrey,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Fotovoz: narrativas de lo común en Monterrey,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Fotovoz: narrativas de lo común en Monterrey,QR o enlace a la wiki,Incompleta,0,
Sierragrafía: cartografía artística de la sierra,Nombre de proyecto,Completa,14.28571428571429,
Sierragrafía: cartografía artística de la sierra,Descripción de proyecto,Completa,14.28571428571429,
Sierragrafía: cartografía artística de la sierra,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Sierragrafía: cartografía artística de la sierra,El prototipo y/o partes de él,Completa,14.28571428571429,
Sierragrafía: cartografía artística de la sierra,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Sierragrafía: cartografía artística de la sierra,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Sierragrafía: cartografía artística de la sierra,QR o enlace a la wiki,Completa,14.28571428571429,
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",Nombre de proyecto,Completa,14.28571428571429,
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",Descripción de proyecto,Completa,14.28571428571429,
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",Trazas del proceso de prototipado ,Completa,14.28571428571429,Podrían complementar con más documentación  
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",El prototipo y/o partes de él,Incompleta,0,
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,"La cartulina se cayó, hay espacios vacíos donde se puede poner el QR a la wiki"
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
"Narrativas ferroviarias: registro y difusión de la memoria obrera
",QR o enlace a la wiki,Incompleta,0,
Laboratorio del cuerpo y el espacio vivo,Nombre de proyecto,Incompleta,0,No se distingue entre todo el contenido del docspace
Laboratorio del cuerpo y el espacio vivo,Descripción de proyecto,Completa,14.28571428571429,Se ve con mucho ruido visual y se batalla em entender
Laboratorio del cuerpo y el espacio vivo,Trazas del proceso de prototipado ,Completa,14.28571428571429,Se podría dar más contexto 
Laboratorio del cuerpo y el espacio vivo,El prototipo y/o partes de él,Completa,14.28571428571429,Se podría dar más contexto 
Laboratorio del cuerpo y el espacio vivo,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Laboratorio del cuerpo y el espacio vivo,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Laboratorio del cuerpo y el espacio vivo,QR o enlace a la wiki,Incompleta,0,
Aroace: visibilidad y memoria,Nombre de proyecto,Completa,14.28571428571429,
Aroace: visibilidad y memoria,Descripción de proyecto,Completa,14.28571428571429,
Aroace: visibilidad y memoria,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Aroace: visibilidad y memoria,El prototipo y/o partes de él,Completa,14.28571428571429,
Aroace: visibilidad y memoria,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Aroace: visibilidad y memoria,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Aroace: visibilidad y memoria,QR o enlace a la wiki,Incompleta,0,
Ecos de vida,Nombre de proyecto,Completa,14.28571428571429,
Ecos de vida,Descripción de proyecto,Incompleta,0,
Ecos de vida,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Ecos de vida,El prototipo y/o partes de él,Completa,14.28571428571429,Es difícil de ver que es el prototipo
Ecos de vida,Fotografías del prototipo a lo largo del proceso y en su estado actual,Incompleta,0,
Ecos de vida,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Ecos de vida,QR o enlace a la wiki,Completa,14.28571428571429,
Space NL: un cohete colaborativo,Nombre de proyecto,Completa,14.28571428571429,
Space NL: un cohete colaborativo,Descripción de proyecto,Completa,14.28571428571429,
Space NL: un cohete colaborativo,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Space NL: un cohete colaborativo,El prototipo y/o partes de él,Completa,14.28571428571429,
Space NL: un cohete colaborativo,Fotografías del prototipo a lo largo del proceso y en su estado actual,Incompleta,0,
Space NL: un cohete colaborativo,Fotografías de las personas colaboradoras en el proyecto o comunidad,Incompleta,0,
Space NL: un cohete colaborativo,QR o enlace a la wiki,Incompleta,0,
Rayones: Archivo experimental de tatuaje,Nombre de proyecto,Completa,14.28571428571429,
Rayones: Archivo experimental de tatuaje,Descripción de proyecto,Completa,14.28571428571429,Esta lejos del titulo del proyecto y el prototipo
Rayones: Archivo experimental de tatuaje,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Rayones: Archivo experimental de tatuaje,El prototipo y/o partes de él,Incompleta,0,Está desarmado y no hay contexto acerca del mismo
Rayones: Archivo experimental de tatuaje,Fotografías del prototipo a lo largo del proceso y en su estado actual,Incompleta,0,
Rayones: Archivo experimental de tatuaje,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Rayones: Archivo experimental de tatuaje,QR o enlace a la wiki,Incompleta,0,
Raíces: una herramienta para la tradición,Nombre de proyecto,Completa,14.28571428571429,
Raíces: una herramienta para la tradición,Descripción de proyecto,Completa,14.28571428571429,La información está en hojas de papel kraft qje se ha caído de la mampara donde estaban pegados
Raíces: una herramienta para la tradición,Trazas del proceso de prototipado ,Completa,14.28571428571429,Cuentan con un modelo de prototipo y varias mascaras de prueba
Raíces: una herramienta para la tradición,El prototipo y/o partes de él,Completa,14.28571428571429,Se ve el prototipo pero no hay contexto ni esta abierto
Raíces: una herramienta para la tradición,Fotografías del prototipo a lo largo del proceso y en su estado actual,Incompleta,0,"Muy pocas, y están caídas junto la descripción del proyecto"
Raíces: una herramienta para la tradición,Fotografías de las personas colaboradoras en el proyecto o comunidad,Incompleta,0,
Raíces: una herramienta para la tradición,QR o enlace a la wiki,Incompleta,0,
Entorno Total,Nombre de proyecto,Completa,14.28571428571429,
Entorno Total,Descripción de proyecto,Completa,14.28571428571429,
Entorno Total,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Entorno Total,El prototipo y/o partes de él,Completa,14.28571428571429,
Entorno Total,Fotografías del prototipo a lo largo del proceso y en su estado actual,Incompleta,0,
Entorno Total,Fotografías de las personas colaboradoras en el proyecto o comunidad,Incompleta,0,
Entorno Total,QR o enlace a la wiki,Incompleta,0,
